clothno_raw,clothno_clean,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"ไมโคร","ไมโคร","Single Jersey","72","3","384.30","98.33"
"308CMSJ/40","308CMSJ/40","Single Jersey","40""","3","787.01","235.00"
"*40SM INT/37","*40SM INT/37","Interlock","37""","3","2019.00","220.00"
"RIB/32","RIB/32","Single Jersey","32/60","3","1874.80","65.00"
"RIB/30""","RIB/30""","RIB","30""","3","813.60","65.00"
"ผ้ายืด","ผ้ายืด","Single Jersey","72""","3","158.50","160.00"
"POLY IT/44","POLY IT/44","Interlock","44""-45""","3","510.62","121.33"
"20OESJ/22","20OESJ/22","Single Jersey","22""","3","663.60","156.67"
"ดรายเท็กซ์","ดรายเท็กซ์","ดรายเท็กซ์","38""","3","791.45","176.67"
"20TC80/20RB/28","20TC80/20RB/28","RIB","28.5""-29""","2","1203.69","135.00"
"*30TC80/20SJ/365","*30TC80/20SJ/365","Single Jersey","37""-37.5""","2","899.57","155.00"
"45TC80/20IT/39","45TC80/20IT/39","Interlock","39""-40""","2","870.72","140.00"
"*32CMSJ/20*","*32CMSJ/20*","Single Jersey","20""","2","471.69","215.00"
"20TK แขน","20TK แขน","Armbands","1 1/4"" X25 ""","2","16.80","80.00"
"20CMRB/30","20CMRB/30","RIB","28""-29""","2","830.15","242.50"
"30SMSJ/24","30SMSJ/24","Single Jersey","24""","2","666.80","240.00"
"45TKRB/275","45TKRB/275","RIB","27-28""","2","874.47","167.50"
"20TDRB/101","20TDRB/101","RIB","32""","2","1017.22","150.00"
"32CMSJ/215","32CMSJ/215","Single Jersey","21.5""","2","1439.40","254.00"
"*20OEWK/22*","*20OEWK/22*","Single Jersey","22""","2","1069.16","220.00"
"*20OEWK/18*","*20OEWK/18*","Single Jersey","18""","2","1340.78","209.00"
"30CMSJ/19","30CMSJ/19","Single Jersey","19""","2","378.74","280.00"
"เม้ดข้าวสาร","เม้ดข้าวสาร","Single Jersey","72""","2","240.88","135.00"
"20OESJ/21","20OESJ/21","Single Jersey","21""","2","208.55","202.50"
"C 20RB (BC)","C 20RB (BC)","RIB","32""","2","250.91","227.50"
"20TD106SJ/72","20TD106SJ/72","Single Jersey","72""","2","743.74","140.00"
"34TKRB/41","34TKRB/41","RIB","40""-41""","2","1022.64","133.50"
"30SMSJ/21","30SMSJ/21","Single Jersey","21""","2","315.00","235.00"
"*24CMSJ/22","*24CMSJ/22","Single Jersey","22""","2","722.97","232.50"
"34TC80/20SJ/375","34TC80/20SJ/375","Single Jersey","37.5""-38.5""","2","1033.10","137.00"
"45TKIT/46","45TKIT/46","Interlock","46""-47""","2","326.28","140.00"
"ผ้ายืดไมโคร","ผ้ายืดไมโคร","Single Jersey","48","2","227.90","160.00"
"34TC80/20IT/365","34TC80/20IT/365","Interlock","36""-37""","2","655.41","167.28"
"30TC65-35/KK/36","30TC65-35/KK/36","Lacoste","36""","2","383.84","205.00"
"30TD106RB2/32","30TD106RB2/32","RIB","32""-33""","2","145.62","145.00"
"20OEWRB/30","20OEWRB/30","RIB","30""","2","212.71","190.00"
"32SMSJ/19","32SMSJ/19","Single Jersey","19""","2","569.91","235.00"
"45TC80/20IT/40","45TC80/20IT/40","Interlock","40""-41""","2","409.39","145.00"
"28CMSJX2/41","28CMSJX2/41","Single Jersey","41""-42""","2","553.80","220.00"
"308CMSJ/235","308CMSJ/235","Single Jersey","23.5""","2","379.60","207.50"
"308CMSJ/20","308CMSJ/20","Single Jersey","20""","2","985.10","190.00"
"28CMRB/34","28CMRB/34","Single Jersey","34.5""","2","611.50","182.50"
"20CMSJ/74","20CMSJ/74","Single Jersey","74""รวมริม","2","1059.30","200.00"
"45TKINT/36","45TKINT/36","Interlock","36""","2","205.20","145.00"
"30TC65-35/32""","30TC65-35/32""","RIB","32""","2","731.34","150.00"
"*30CMSJ/24","*30CMSJ/24","Single Jersey","24""","2","332.50","230.00"
"30SMSJ/22*","30SMSJ/22*","Single Jersey","22""","2","900.20","145.00"
"30CMSJX2/365","30CMSJX2/365","Single Jersey","36.5""-37""","2","903.50","190.00"
"30TC65-35/IT/365","30TC65-35/IT/365","Interlock","36""-37""","2","648.42","165.50"
"20OESJ/20","20OESJ/20","Single Jersey","20""","2","536.30","170.00"
"AIRY ENDYRO","AIRY ENDYRO","Interlock","36""","2","323.88","200.00"
"20CMRIB1X1ชักร่อง8X4","20CMRIB1X1ชักร่อง8X4","ชักร่อง 8X4","28""","2","38.58","222.50"
"30CASJ/22","30CASJ/22","Single Jersey","22""","1","94.62",""
"*32SMSJ/405","*32SMSJ/405","Single Jersey","40.5-41""","1","333.27","176.70"
"32SMSJ/35","32SMSJ/35","Single Jersey","35""","1","418.10","180.00"
"34TC80/20 IT/36","34TC80/20 IT/36","Interlock","36-37""","1","509.87","118.00"
"34TC80/20SJ/24","34TC80/20SJ/24","Single Jersey","24""","1","163.12","150.00"
"*30SMSJ/22","*30SMSJ/22","Single Jersey","22""","1","223.00","110.00"
"30SMSJ/345","30SMSJ/345","Single Jersey","34.5""-35""","1","362.30","195.00"
"20OEWSJ/36","20OEWSJ/36","Single Jersey","36""","1","524.88","210.00"
"*30TD101SJ/73","*30TD101SJ/73","Single Jersey","73""","1","347.79","139.73"
"30SMSJ/73","30SMSJ/73","Single Jersey","73""พอดี(ม่รวมริมกาว)","1","322.48","170.78"
"*34TKRB/27","*34TKRB/27","Single Jersey","27""","1","610.18","115.00"
"34TC80/20RB/32","34TC80/20RB/32","RIB","32""","1","416.36","155.00"
"20TD104SJ/72","20TD104SJ/72","Single Jersey","72""(ไม่รวมริม)","1","629.30","145.00"
"POLY IT/80","POLY IT/80","Interlock","80""","1","346.62","130.00"
"34TC80/20 IT/425","34TC80/20 IT/425","Interlock","84""""","1","603.28","155.00"
"30SMSJ/23","30SMSJ/23","Single Jersey","23""","1","651.30","240.00"
"20TD101SJ/72","20TD101SJ/72","Single Jersey","72""","1","344.25","145.00"
"32CMSJ205","32CMSJ205","Single Jersey","20""","1","292.70","280.00"
"32CMSJ235","32CMSJ235","Single Jersey","23""","1","536.20","290.00"
